bgc_id	compound	tax_id	strain	species	genus	family	order	class	phylum	kingdom	domain	cellular root	subclass	clade	subspecies	suborder	species group	species subgroup	varietas	serotype	subphylum	subkingdom	subfamily	isolate	subgenus	realm	acellular root	tribe	subtribe
BGC0000001	abyssomicin C	263358	Micromonospora maris AB-18-032	Micromonospora maris	Micromonospora	Micromonosporaceae	Micromonosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0000002	aculeximycin	1449976	Kutzneria albida DSM 43870	Kutzneria albida	Kutzneria	Pseudonocardiaceae	Pseudonocardiales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0000014	ambruticin	56		Sorangium cellulosum	Sorangium	Polyangiaceae	Polyangiales		Myxococcota	Pseudomonadati	Bacteria	cellular organisms	Polyangia																
BGC0000016	amphotericin B	40318		Streptomyces nodosus	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0000017	anatoxin-a	272129		Kamptonema sp. PCC 6506	Kamptonema	Microcoleaceae	Oscillatoriales	Cyanophyceae	Cyanobacteriota	Bacillati	Bacteria	cellular organisms	Oscillatoriophycideae	Cyanobacteriota/Melainabacteria group															
BGC0000018	angolamycin	42237		Streptomyces eurythermus	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0000019	angolamycin	42237		Streptomyces eurythermus	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0000020	maytansine	42198		Actinosynnema pretiosum	Actinosynnema	Pseudonocardiaceae	Pseudonocardiales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms			Actinosynnema pretiosum subsp. auranticum														
BGC0000021	apoptolidin	2914159		Amycolatopsis sp. FU40	Amycolatopsis	Pseudonocardiaceae	Pseudonocardiales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0000023	aurafuron A	378806	Stigmatella aurantiaca DW4/3-1	Stigmatella aurantiaca	Stigmatella	Archangiaceae	Myxococcales	Myxococcia	Myxococcota	Pseudomonadati	Bacteria	cellular organisms				Cystobacterineae													
BGC0000024	aureothin	66431		Streptomyces thioluteus	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0000026	avilamycin A	1160705	Streptomyces viridochromogenes Tue57	Streptomyces viridochromogenes	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0000028	bafilomycin B1	390239		Streptomyces lohii	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0000029	BE-14106	639005		Streptomyces sp. DSM 21069	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0000031	borrelidin	146923		Streptomyces parvulus	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0000032	A23187	1079985	Streptomyces chartreusis NRRL 3882	Streptomyces chartreusis	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0000033	calicheamicin	1877		Micromonospora echinospora	Micromonospora	Micromonosporaceae	Micromonosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0000034	candicidin	206662		Streptomyces sp. FR-008	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0000035	chalcomycin A	1896		Streptomyces bikiniensis	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0000036	chlorothricin	1890		Streptomyces antibioticus	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0000038	coelimycin P1	100226	Streptomyces coelicolor A3(2)	Streptomyces coelicolor	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms					Streptomyces albidoflavus group												
BGC0000040	concanamycin A	42238		Streptomyces neyagawaensis	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0000041	oronofacic acid	317		Pseudomonas syringae	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	cellular organisms					Pseudomonas syringae group	Pseudomonas syringae group genomosp. 1											
BGC0000042	cremimycin	1321967		Streptomyces sp. MJ635-86F5	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
