names	accessions	source	normalized	description
1-cysPrx_C	PF10417.8	Pfam	PF10417	C-terminal domain of 1-Cys peroxiredoxin
2-Hacid_dh	PF00389.29	Pfam	PF00389	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain
2-Hacid_dh_C	PF02826.18	Pfam	PF02826	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain
2-oxoacid_dh	PF00198.22	Pfam	PF00198	2-oxoacid dehydrogenases acyltransferase (catalytic domain)
2-ph_phosp	PF04029.13	Pfam	PF04029	2-phosphosulpholactate phosphatase
2Fe-2S_thioredx	PF01257.18	Pfam	PF01257	Thioredoxin-like [2Fe-2S] ferredoxin
2OG-FeII_Oxy_2	PF13532.5	Pfam	PF13532	2OG-Fe(II) oxygenase superfamily
2OG-FeII_Oxy_3	PF13640.5	Pfam	PF13640	2OG-Fe(II) oxygenase superfamily
2OG-Fe_Oxy_2	PF10014.8	Pfam	PF10014	2OG-Fe dioxygenase
3-HAO	PF06052.11	Pfam	PF06052	3-hydroxyanthranilic acid dioxygenase
3Beta_HSD	PF01073.18	Pfam	PF01073	3-beta hydroxysteroid dehydrogenase/isomerase family
3HBOH	PF10605.8	Pfam	PF10605	3HB-oligomer hydrolase (3HBOH)
3HCDH	PF00725.21	Pfam	PF00725	3-hydroxyacyl-CoA dehydrogenase, C-terminal domain
3HCDH_N	PF02737.17	Pfam	PF02737	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain
4HBT	PF03061.21	Pfam	PF03061	Thioesterase superfamily
4HBT_2	PF13279.5	Pfam	PF13279	Thioesterase-like superfamily
5-FTHF_cyc-lig	PF01812.19	Pfam	PF01812	5-formyltetrahydrofolate cyclo-ligase family
5-nucleotidase	PF06189.11	Pfam	PF06189	5'-nucleotidase
5_nucleotid_C	PF02872.17	Pfam	PF02872	5'-nucleotidase, C-terminal domain
6PF2K	PF01591.17	Pfam	PF01591	6-phosphofructo-2-kinase
6PGD	PF00393.18	Pfam	PF00393	6-phosphogluconate dehydrogenase, C-terminal domain
AAL_decarboxy	PF03306.12	Pfam	PF03306	Alpha-acetolactate decarboxylase
AAT	PF03417.15	Pfam	PF03417	Acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase
AATase	PF07247.11	Pfam	PF07247	Alcohol acetyltransferase
AA_kinase	PF00696.27	Pfam	PF00696	Amino acid kinase family
AbfB	PF05270.12	Pfam	PF05270	Alpha-L-arabinofuranosidase B (ABFB) domain
Abhydrolase_2	PF02230.15	Pfam	PF02230	Phospholipase/Carboxylesterase
Abhydrolase_3	PF07859.12	Pfam	PF07859	alpha/beta hydrolase fold
Abhydrolase_4	PF08386.9	Pfam	PF08386	TAP-like protein
Abhydrolase_5	PF12695.6	Pfam	PF12695	Alpha/beta hydrolase family
Abhydrolase_8	PF06259.11	Pfam	PF06259	Alpha/beta hydrolase
Abhydro_lipase	PF04083.15	Pfam	PF04083	Partial alpha/beta-hydrolase lipase region
ABM	PF03992.15	Pfam	PF03992	Antibiotic biosynthesis monooxygenase
ACBP	PF00887.18	Pfam	PF00887	Acyl CoA binding protein
ACCA	PF03255.13	Pfam	PF03255	Acetyl co-enzyme A carboxylase carboxyltransferase alpha subunit
ACC_central	PF08326.11	Pfam	PF08326	Acetyl-CoA carboxylase, central region
AceK	PF06315.10	Pfam	PF06315	Isocitrate dehydrogenase kinase/phosphatase (AceK)
Acetate_kinase	PF00871.16	Pfam	PF00871	Acetokinase family
AcetDehyd-dimer	PF09290.10	Pfam	PF09290	Prokaryotic acetaldehyde dehydrogenase, dimerisation
Acetone_carb_G	PF08882.10	Pfam	PF08882	Acetone carboxylase gamma subunit
AcetylCoA_hyd_C	PF13336.5	Pfam	PF13336	Acetyl-CoA hydrolase/transferase C-terminal domain
Acetyltransf_1	PF00583.24	Pfam	PF00583	Acetyltransferase (GNAT) family
Acetyltransf_10	PF13673.6	Pfam	PF13673	Acetyltransferase (GNAT) domain
Acetyltransf_11	PF13720.5	Pfam	PF13720	Udp N-acetylglucosamine O-acyltransferase; Domain 2
Acetyltransf_2	PF00797.16	Pfam	PF00797	N-acetyltransferase
Acetyltransf_3	PF13302.6	Pfam	PF13302	Acetyltransferase (GNAT) domain
Acetyltransf_4	PF13420.6	Pfam	PF13420	Acetyltransferase (GNAT) domain
Acetyltransf_5	PF13444.5	Pfam	PF13444	Acetyltransferase (GNAT) domain
Acetyltransf_6	PF13480.6	Pfam	PF13480	Acetyltransferase (GNAT) domain
Acetyltransf_7	PF13508.6	Pfam	PF13508	Acetyltransferase (GNAT) domain
Acetyltransf_8	PF13523.5	Pfam	PF13523	Acetyltransferase (GNAT) domain
Acetyltransf_9	PF13527.6	Pfam	PF13527	Acetyltransferase (GNAT) domain
Acetyltransf_CG	PF14542.5	Pfam	PF14542	GCN5-related N-acetyl-transferase
Acid_phosphat_B	PF03767.13	Pfam	PF03767	HAD superfamily, subfamily IIIB (Acid phosphatase)
Acid_PPase	PF12689.6	Pfam	PF12689	Acid Phosphatase
Aconitase	PF00330.19	Pfam	PF00330	Aconitase family (aconitate hydratase)
Aconitase_2_N	PF06434.12	Pfam	PF06434	Aconitate hydratase 2 N-terminus
Aconitase_B_N	PF11791.7	Pfam	PF11791	Aconitate B N-terminal domain
Aconitase_C	PF00694.18	Pfam	PF00694	Aconitase C-terminal domain
ACOX	PF01756.18	Pfam	PF01756	Acyl-CoA oxidase
ACPS	PF01648.19	Pfam	PF01648	4'-phosphopantetheinyl transferase superfamily
ACP_PD	PF04336.11	Pfam	PF04336	Acyl carrier protein phosphodiesterase
ACP_syn_III	PF08545.9	Pfam	PF08545	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III
ACP_syn_III_C	PF08541.9	Pfam	PF08541	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal
ACT	PF01842.24	Pfam	PF01842	ACT domain
Actino_peptide	PF14408.5	Pfam	PF14408	Ribosomally synthesised peptide in actinomycetes
ACT_7	PF13840.5	Pfam	PF13840	ACT domain
Acyl-ACP_TE	PF01643.16	Pfam	PF01643	Acyl-ACP thioesterase
Acyl-CoA_dh_2	PF08028.10	Pfam	PF08028	Acyl-CoA dehydrogenase, C-terminal domain
Acyl-CoA_dh_C	PF12806.6	Pfam	PF12806	Acetyl-CoA dehydrogenase C-terminal like
Acyl-CoA_ox_N	PF14749.5	Pfam	PF14749	Acyl-coenzyme A oxidase N-terminal
Acylphosphatase	PF00708.17	Pfam	PF00708	Acylphosphatase
Acyltransferase	PF01553.20	Pfam	PF01553	Acyltransferase
Acyl_CoA_thio	PF02551.14	Pfam	PF02551	Acyl-CoA thioesterase
Acyl_transf_1	PF00698.20	Pfam	PF00698	Acyl transferase domain
Acyl_transf_3	PF01757.21	Pfam	PF01757	Acyltransferase family
ADC	PF06314.10	Pfam	PF06314	Acetoacetate decarboxylase (ADC)
Adenine_deam_C	PF13382.5	Pfam	PF13382	Adenine deaminase C-terminal domain
Adenine_glyco	PF03352.12	Pfam	PF03352	Methyladenine glycosylase
Adenylate_cycl	PF01295.17	Pfam	PF01295	Adenylate cyclase, class-I
Adenylsucc_synt	PF00709.20	Pfam	PF00709	Adenylosuccinate synthetase
ADH_N	PF08240.11	Pfam	PF08240	Alcohol dehydrogenase GroES-like domain
ADH_N_2	PF16884.4	Pfam	PF16884	N-terminal domain of oxidoreductase
ADH_N_assoc	PF13823.5	Pfam	PF13823	Alcohol dehydrogenase GroES-associated
ADH_zinc_N	PF00107.25	Pfam	PF00107	Zinc-binding dehydrogenase
ADH_zinc_N_2	PF13602.5	Pfam	PF13602	Zinc-binding dehydrogenase
ADK	PF00406.21	Pfam	PF00406	Adenylate kinase
ADK_lid	PF05191.13	Pfam	PF05191	Adenylate kinase, active site lid
AdoHcyase	PF05221.16	Pfam	PF05221	S-adenosyl-L-homocysteine hydrolase
AdoHcyase_NAD	PF00670.20	Pfam	PF00670	S-adenosyl-L-homocysteine hydrolase, NAD binding domain
AdoMet_dc	PF02675.14	Pfam	PF02675	S-adenosylmethionine decarboxylase
AdoMet_MTase	PF07757.12	Pfam	PF07757	Predicted AdoMet-dependent methyltransferase
AdoMet_Synthase	PF01941.18	Pfam	PF01941	S-adenosylmethionine synthetase (AdoMet synthetase)
ADPrib_exo_Tox	PF03496.13	Pfam	PF03496	ADP-ribosyltransferase exoenzyme
ADP_PFK_GK	PF04587.14	Pfam	PF04587	ADP-specific Phosphofructokinase/Glucokinase conserved region
