genome	sequence_id	bgc_id	start	end	compound	smiles	inchikey	reference
CP016174.1	CP016174.1	CP016174.1_cluster1	7724310	7797330	norvancomyin	C[C@H]1[C@H]([C@@](C[C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)[C@H]([C@H](C(=O)N[C@H](C(=O)N[C@H]5C(=O)N[C@@H]7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9O)O)[C@H](NC(=O)[C@H]([C@@H](C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)CC(=O)N)NC(=O)[C@@H](CC(C)C)N)O)Cl)CO)O)O)(C)N)O	NUAQIRUAZSJTAI-YRPZDAAMSA-N	pubmed:33531006
CP022438.1	CP022438.1	CP022438.1_cluster1	1770750	1821920	25-hydroxy peucemycin	C1/C(O)C(O)C2OC(=CC(=O)C=2/C=C/C(O)C)CC(=O)OC/C(=C\C(=C\\CC)\CC)/C=1	DMMXDCJENKMQKZ-NBXRVQGUSA-N	pubmed:36680588
CP092644.1	CP092644.1	CP092644.1_cluster1	1251850	1339380	actinopyrone G	C1(/C=C/[C@@H](C)C/C=C/C(/C)=C\[C@H](C)[C@@H](/C(=C/C)/C)O)OC(OC)=C(C)C(=O)C=1C	PIYNCLUPGLBENL-QYWBUWIKSA-N	pubmed:36475912
AP018448.1	AP018448.1	AP018448.1_cluster1	1505060	1594270	TAN-1323D	CC[C@H]1[C@H]([C@@H](C/C(=C/C=C/[C@@H]([C@H](OC(=O)/C(=C/C(=C/[C@H]([C@H]1O)C)/C)/OC)[C@@H](C)[C@H]([C@H](C)[C@]2(C[C@H]([C@@H]([C@H](O2)/C=C/C)C)OC(=O)/C=C/C(=O)O)O)O)OC)/C)C)O	FNXHQRMBGOYZCC-RRCTZNHSSA-N	pubmed:36602093
CP001510.1	CP001510.1	CP001510.1_cluster1	4212973	4226779	methylolanthanin	C(CN(C(=O)C)CCCNC(=O)C1=CC=C(O)C=C1)CCNC(=O)CC(O)(C(O)=O)CC(=O)NCCCCN(C(=O)C)CCCNC(=O)C1=CC=C(O)C=C1	HBAFJSJRLBMGBD-UHFFFAOYSA-N	doi:10.1101/2022.01.19.476857
CP048397.1	CP048397.1	CP048397.1_cluster1	7579408	7636457	viennamycin A	CC[C@H](C)[C@@H](C(=O)N[C@H](CC1=CC=CC=C1)C(=O)N[C@H](CS(=O)(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H]2[C@H](OC(=O)[C@@H]3CCCN3C(=O)[C@@H](NC(=O)[C@H](NC(=O)CNC(=O)CNC(=O)[C@H](N(C2=O)C)C(C)C)CCC(=O)O)C)C)NC(=O)[C@H](CC(=O)N)NC(=O)/C=C\C=C\CCC(C)C	UUCSPZUVNMNEEZ-NUTRYBNQSA-N	pubmed:32786880
CABVGP01	NZ_CABVGP010000001.1	NZ_CABVGP010000001.1_cluster1	2865850	2883400	tetracenomycin X	CC1=C(C(=CC2=CC3=C(C(=C12)O)C(=O)[C@@]4(C(=O)C=C([C@H]([C@@]4(C3=O)O)O)OC)OC)OC)C(=O)OC	QSPIPUXWSNFXCK-AGILITTLSA-N	pubmed:36201117
PKLC01	PKLC01000016.1	PKLC01000016.1_cluster1	626230	685418	oximidine I	CO/N=CC=C/C(=O)NC/C=C/[C@H]1[C@H]([C@H]2[C@H](O2)/C=CC=CC3=C(C(=CC=C3)O)C(=O)O1)O	MJQHXIHJXNEHLK-IYWYHCIBSA-N	pubmed:37218580
VILE02	VILE02000015.1	VILE02000015.1_cluster1	102524	119586	radiosumin	CC(=O)NC1CCC(=C[C@@H](C(=O)O)NC(=O)[C@H](/C=C/2\CC[C@H](C=C2)N)NC(=O)C)CC1	BZYYTAOQKTUZST-NRZWWCDRSA-N	doi:10.5281/zenodo.8021780
SSBQ01	SSBQ01000002.1	SSBQ01000002.1_cluster1	243396	311170	levesquamide	CC(C)C[C@@H](CO)NC(=O)[C@@H](CNC(=O)[C@H](CO)N1C(=O)C2=C(S1)C(=O)C(=C(N2)C3=COC(=N3)C4=CC=CC=C4N)OC)O	DZVHAUSOBYTBDX-ZOCIIQOWSA-N	pubmed:32363877
BJNH01	BJNH01000015.1	BJNH01000015.1_cluster1	93800	126600	kongjuemycin C2	C(CC(=O)NCCC(O[C@H](CCCCCCCC(C)C)/C=C\[C@@H]([C@H](O)C(C1C(=O)OC(=O)C=1O)=O)O)=O)N	VJAOROASZMWHKM-QKLABTNPSA-N	pubmed:37606755
CP047318.1	CP047318.1	CP047318.1_cluster1	659165	765945	HM190 macrolide 1	[C@H]1(O)[C@H](C)[C@@H](O)[C@H](O)[C@@H](O)[C@](C)(O)CCCC=C[C@]2([H])C[C@H](C)CO[C@@]2(O)C[C@]2([H])O[C@]3(CCC[C@H](C[C@H](O)CC)O3)C[C@]([H])(OC(=O)C=C[C@@]1(C)O)C2C	AJOPBKIONPDYFS-YMEWXORYSA-N	pubmed:32676068
CP059991.1	CP059991.1	CP059991.1_cluster1	5570224	5629850	12-ketomethymycin N-oxide	C[C@@H]1C[C@@H]([C@@H](O)C(O[C@H]2[C@@H](C)C[C@@H](C)C(=O)C=C[C@@H](C)[C@H](OC(=O)[C@@H]2C)C(C)=O)O1)[N+](C)(C)[O-]	KNUFNQCAIBEGOA-DUXQNUHSSA-N	pubmed:33590846
CP065050.1	CP065050.1	CP065050.1_cluster1	173340	247879	L-155,175	C(C)1/C=C(/C)\C=C(/C)\C(O)OC(C(C)C(C(C)C(O)2OC(CC)C(C)C(OC(=O)/C=C/C(=O)NC3=C(O)CCC3=O)C2)O)C(OC)/C=C/C=C(\C)/CC(C)C1O	ISRLLWCSCCPOEX-QIOKEINKSA-N	pubmed:22669556
CP065050.1	CP065050.1	CP065050.1_cluster2	911188	950980	actinoramide A	COCC(=O)N[C@H]([C@H](O)C(C)C)C(=O)N1NCCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)[C@H](C)C(=O)N[C@H]1CCN(C(N)=O)C1=O	IAYPOIKGUHHBAU-DYTCPEOESA-N	pubmed:23911586
CP065050.1	CP065050.1	CP065050.1_cluster3	2539279	2604382	cuevaene A	C/C(=C\C1CCCC2=C1OC3=C2C=C(C=C3)O)/C=C(/C=C/C(=O)O)\OC	WIGMDADUQLISQR-LUGDWHTQSA-N	pubmed:23824670
CP072000.1	CP072000.1	CP072000.1_cluster1	5665906	5720925	nikkomycin X	CC(C(C1=NC=C(C=C1)O)O)C(C(=O)NC(C2C(C(C(O2)N3C=C(NC3=O)C=O)O)O)C(=O)O)N	AYXHZRVSIUJLAE-UHFFFAOYSA-N	pubmed:28840532
CP103866.1	CP103866.1	CP103866.1_cluster1	2832150	2902775	thermorubin	COC1=C2C(=CC3=CC(=C(C(=C31)OC)C(=O)/C=C(/C4=CC=CC=C4O)\O)CC(=O)O)C=C5C=C(OC(=O)C5=C2O)C(=O)OC	GGEDVBUCHDZLTH-MOSHPQCFSA-N	pubmed:36255735
CP053109.1	CP053109.1	CP053109.1_cluster1	5532010	5536419	PD116740	COC1=CC=CC2=C1C(=O)C3=C(C2=O)C4=C(C=C(C=C4O)CO)[C@H]([C@@H]3O)O	ZJSLMQLVFYXGOW-UYAOXDASSA-N	pubmed:8990300
CP050504.1	CP050504.1	CP050504.1_cluster1	6958349	6982916	8,8a-deoxyoleandolide	C[C@H]1C[C@H](C(=O)[C@@H]([C@H]([C@H]([C@H](OC(=O)[C@@H]([C@H]([C@@H]([C@H]1O)C)O)C)C)C)O)C)C	OLPAVFVRSHWADO-KYEFFAPUSA-N	pubmed:10908114
CP003284.1	CP003284.1	CP003284.1_cluster1	1965941	2005379	anabaenopeptilide 90A	CCC(C)C1C(=O)OC(C(C(=O)NC(C(=O)NC2CCC(N(C2=O)C(C(=O)N(C(C(=O)N1)CC3=CC=C(C=C3)OC)C)C(C)O)O)CCC4=CC=C(C=C4)O)NC(=O)C(CCC(=O)N)NC=O)C	OWICVIMBSMKDHR-UHFFFAOYSA-N	pubmed:10931313
CP123780.1	CP123780.1	CP123780.1_cluster1	4411593	4450586	SIA7248	CC1=CC=CC=CC=CC2=C(C(=CC=C2)O)C(=O)OC(CC(CC(CC(CC(CC(=CC=CC=CC=CC3=C(C(=CC=C3)O)C(=O)OC(CC(CC(CC(CC(C1)O)O)O)O)CC(C(C)O)O)C)O)O)O)O)CC(C(C)O)O	OSCPSYFRNSUMGB-UHFFFAOYSA-N	pubmed:23505159
